Country,Region,State,Territory,City
India,North,Uttar pradesh,UP-EAST,AGRA
India,North,Uttar pradesh,UP-EAST,ALIGARH
India,North,Uttar pradesh,UP-EAST,ALLAHABAD
India,North,Uttar pradesh,UP-EAST,BAREILLY
India,North,Uttar pradesh,UP-EAST,BHADOHI
India,North,Uttar pradesh,UP-EAST,FIROZABAD
India,North,Uttar pradesh,UP-EAST,GHAZIABAD
India,North,Uttar pradesh,UP-EAST,GHAZIPUR
India,North,Uttar pradesh,UP-EAST,GORAKHPUR
India,North,Uttar pradesh,UP-EAST,KANPUR
India,North,Uttar pradesh,UP-EAST,LUCKNOW
India,North,Uttar pradesh,UP-EAST,MATHURA
India,North,Uttar pradesh,UP-EAST,MEERUT
India,North,Uttar pradesh,UP-EAST,MODINAGAR
India,North,Uttar pradesh,UP-EAST,MORADABAD
India,North,Uttar pradesh,UP-EAST,MUZAFFARNAGAR
India,North,Uttar pradesh,UP-EAST,NOIDA
India,North,Uttar pradesh,UP-EAST,SAHARANPUR
India,North,Uttar pradesh,UP-EAST,SAHIBABAD
India,North,Uttar pradesh,UP-EAST,UNNAO
India,North,Uttar pradesh,UP-EAST,UPBORDER
India,North,Uttar pradesh,UP-EAST,VARANASI
India,North,UTTARAKHAND,UK- Territory 1,HARIDWAR
India,North,UTTARAKHAND,UK- Territory 1,RORKEE